,Product URL,Name,Short Description 1,Short Description 2,Short Description 3,Product Usage,Review
0,https://vitamines.com/vitamine-b/vitakruid-b-complex-actief-zonder-b6/,Vitakruid B-Complex actief zonder B6,"Voor het B-complex Actief hebben we de keuze gemaakt om een formule samen te stellen zonder vitamine B6. Een vitamine B6 stapeling wordt niet veroorzaakt door supplementen met pyridoxaal-5-fostaat, de vorm die wij in al onze supplementen gebruiken. Desondanks blijft een vitamine B6 stapeling een veel voorkomend probleem binnen de hedendaagse therapeutische praktijk. De schreeuw om een actief B-complex zonder B6 werd daarom luider en luider, zeker omdat suppletie met B-vitaminen een B6 stapeling juist kunnen oplossen. Daarom, als pionier binnen het suppletieveld komen we als eerste met een actief B-complex zonder vitamine B6!",,,Neem één capsule per dag. Tenzij anders geadviseerd.,"Review 1:
Ik ben zo blij dat ik Vitakruid B-Complex actief zonder B6 heb ontdekt! Ik heb lang gezocht naar een B-complex supplement dat me alle voedingsstoffen biedt die ik nodig heb, zonder de risico's van een B6-stapeling. Ik heb zelfs eerdere supplementen moeten stoppen vanwege dit probleem, dus dit product is echt een redder in nood voor mij. Ik merk dat ik me veel energieker voel sinds ik met dit supplement ben begonnen en ik ben erg tevreden over de kwaliteit van de ingrediënten. Vitakruid heeft deze formule echt tot in de perfectie gebracht!

Review 2:
Als drukbezette professional kan ik soms hulp nodig hebben om mijn energieniveau op peil te houden. Vitakruid B-Complex actief zonder B6 biedt precies wat ik nodig heb, zonder de risico's die andere supplementen kunnen veroorzaken. Ik heb het gevoel dat ik nu de juiste hoeveelheid voedingsstoffen binnenkrijg om me scherp te houden, zonder het gevoel te hebben dat ik iets onnodigs in mijn lichaam stop. Ik voel me goed met dit product en raad het aan aan iedereen die wat extra ondersteuning nodig heeft!"
1,https://vitamines.com/vitamine-k/vitakruid-osta-k2-d3-algae-90-tabletten/,Vitakruid Osta K2 & D3 Algae,Dragen bij tot de instandhouding van normale botten,,,"Neem 1 tablet per dag, tenzij anders is geadviseerd. De aanbevolen dagelijkse dosering niet overschrijden.","1) Ik heb onlangs Vitakruid Osta K2 & D3 Algae gekocht en ben er erg blij mee! Het is geweldig om te weten dat het bijdraagt aan de instandhouding van normale botten. Ik heb het nu al een paar weken gebruikt en merk echt het verschil in mijn botten. Ze voelen sterker en stabieler aan dan ooit tevoren. Het feit dat de ingrediënten van natuurlijke algen afkomstig zijn is ook een pluspunt. Ik raad dit product zeker aan!

2) Vitakruid Osta K2 & D3 Algae heeft mijn verwachtingen echt overtroffen! Na het gebruiken van dit product voel ik me niet alleen beter, maar heb ik ook meer energie dan voorheen. Ik merk ook dat mijn botten steviger zijn geworden wat fantastisch is. Dit product is gemakkelijk in te nemen en heeft geen nare nasmaak zoals sommige andere supplementen. Ik ben zo blij met deze aankoop en zal het zeker opnieuw kopen!"
2,https://vitamines.com/vitamine-b/davitamon-b-complex-forte-dragees/,Davitamon B-Complex Forte Dragees,Davitamon B Complex Forte 200 dragees is een krachtig en compleet vitamine B voedingssupplement met biergist.,,,"1 Dragee per dag, bij voorkeur tijdens of na de maaltijd innemen.","1) Ik ben zo blij met de Davitamon B-Complex Forte Dragees! Ik neem deze dagelijks in en merk echt een verschil in mijn energieniveau en mijn humeur. Het helpt me om alert en gefocust te blijven gedurende de dag, zelfs tijdens lange werkdagen. Het feit dat het ook biergist bevat, is een extra bonus voor mijn gezondheid. Ik zou dit product absoluut aanbevelen aan iedereen die een extra boost aan B-vitaminen nodig heeft.

2) Als iemand die vaak last heeft van vermoeidheid en stress, heeft de Davitamon B-Complex Forte Dragees mijn leven veranderd. Ik heb meer energie en voel me minder gestrest sinds ik dit supplement probeerde. Plus, de grote fles van 200 dragees betekent dat ik me geen zorgen hoef te maken over het snel opraken en constant teruggaan naar de winkel. Ik ben erg blij met deze aankoop en zal het blijven gebruiken om mijn gezondheid en welzijn te verbeteren."
3,https://vitamines.com/multivitamine/vitals-elke-dag-junior/,Vitals Elke dag junior,"Elke Dag Junior is een kauwtablet in de vorm van een olifantje met aardbeiensmaak, speciaal ontwikkeld voor kinderen vanaf 3 jaar. Het product is samengesteld op basis van de meest recente wetenschappelijke inzichten, afgestemd op actuele gegevens aangaande de voedingsstatus in Nederland en de optimale innamehoeveelheden per nutriënt. Elke Dag Junior blinkt uit in samenstelling, dosering en opneembaarheid. De kauwtablet bevat bijna allemaal dezelfde hoogwaardige stoffen als Elke Dag voor volwassenen, maar dan zijn de doseringen aangepast aan de behoeften van (jonge) kinderen. Zo bevat een tabletje maar liefst 15 μg vitamine D3 (losse vitamine D-druppels zijn dus niet meer nodig). En er zit 60 mg magnesium en 120 mg calcium in, uit natuurlijke bron. Kortom, Elke Dag Junior zal de vergelijking met andere kindermulti’s glansrijk doorstaan!",,,"Kinderen vanaf 3 jaar 1 tablet per dag bij een maaltijd stukkauwen of zoals geadviseerd. Indien uw kind nog moeite heeft met het kauwen van tabletten, kunt u deze het beste fijnmaken en bijvoorbeeld door de yoghurt of pap mengen. Houd u aan de aanbevolen dosering","1. Ik ben echt blij dat ik Vitals Elke dag junior heb gekocht voor mijn kind. Het is zo gemakkelijk te geven, aangezien het een leuke olifantvorm heeft met aardbeiensmaak die mijn kind dol op is. Bovendien heeft het alles wat mijn kind nodig heeft, inclusief vitamine D3, magnesium en calcium, en nog veel meer voedingsstoffen in doseringen die perfect zijn aangepast aan zijn leeftijd. Ik hoef me geen zorgen te maken dat hij belangrijke voedingsstoffen mist! Het is absoluut een product dat ik ten zeerste kan aanbevelen aan elke ouder.

2. Dit is verreweg de beste kindermulti die ik ben tegengekomen! Ik ben zo blij dat Vitals Elke dag junior nu beschikbaar is in Nederland. Het is geen verrassing waarom het door zoveel mensen wordt geprezen. Het is zo goed samengesteld en bevat alles wat mijn kind nodig heeft om gezond op te groeien. Als drukke ouder ben ik ook dol op hoe eenvoudig het is om te geven. Mijn kind houdt van de smaak en hij vindt het ook leuk om op de olifantvorm te kauwen. Ik ben zo dankbaar dat we dit product hebben gevonden en ik zou het iedereen met kinderen ten zeerste aanbevelen!"
4,https://vitamines.com/multivitamine/orthica-multivitamine-prena-fem/,Orthica Multivitamine Prena Fem,"Complete multivitamine rondom de zwangerschap, met DHA uit visolie Vervangt Prena Fem. Zwangerschap vraagt veel van je lichaamsreserves. Zoek je een aanvulling op je gezonde voeding? Multi Prena Fem is een complete multivitamine voor vrouwen met een zwangerschapswens, vrouwen die zwanger zijn én vrouwen die borstvoeding geven. Naast alle belangrijke vitaminen, waaronder vitamine D en foliumzuur, en mineralen, bevat Multi Prena Fem 400 mg van het omega 3-vetzuur DHA.","Zwanger zijn: dat vraagt natuurlijk veel van je lichaamsreserves. Een gezonde en gevarieerde voeding is dan van belang. Voor jou als moeder, maar ook voor de ontwikkeling van je kind. Begin daarom al vóór de zwangerschap met je lichaam in optimale (voedings)conditie te brengen. Zoek je een aanvulling op je gezonde voeding? Dan kan ons voedingssupplement Multi Prena Fem een goede optie zijn. Deze complete multivitamine ondersteunt moeder en kind tijdens en rondom de zwangerschap.","Naast alle belangrijke vitaminen, waaronder 25 mcg vitamine D en 800 mcg foliumzuur, en mineralen, bevat Multi Prena Fem 400 mg van het omega 3-vetzuur DHA. Foliumzuur is bijvoorbeeld goed voor vrouwen die zwanger willen worden en draagt bij tot de normale groei van de foetus tijdens de zwangerschap. Daarbij kunnen je immuunsysteem (vitamine D) en je energiestofwisseling",Bij voorkeur innemen tijdens of na een maaltijd,"1. Ik ben zo blij dat ik Orthica Multivitamine Prena Fem heb ontdekt! Als aanstaande moeder wil ik er zeker van zijn dat ik alle nodige vitaminen en mineralen binnenkrijg om mijn baby zo gezond mogelijk te laten groeien. Deze multivitamine is het perfecte supplement voor dit doel. Het feit dat het ook 400 mg DHA bevat, maakt me nog blijer! Ik zou dit product aanbevelen aan elke zwangere vrouw die voor haar eigen gezondheid en die van haar baby wil zorgen.

2. Ik was op zoek naar een supplement dat mij tijdens mijn zwangerschap zou ondersteunen, en dat vond ik in Orthica Multivitamine Prena Fem. Ik heb deze multivitamine al enige tijd gebruikt en voel echt het verschil in mijn energieniveau. Ik voel me zo veel beter en gezonder dan voorheen! Het is ook zo geruststellend om te weten dat ik alle belangrijke vitaminen en mineralen binnenkrijg tijdens deze belangrijke tijd in mijn leven. Ik zou Orthica Multivitamine Prena Fem aan elke aanstaande moeder aanbevelen die op zoek is naar een geweldige multivitamine!"
5,https://vitamines.com/vitamine-b3/vitakruid-vitamine-b3-niacinamide-500-90-capsules/,Vitakruid Vitamine B3 Niacinamide 500,Niacine (vitamine B3) is belangrijk voor de energievoorziening van het lichaam en de aanmaak van vetzuren.,,,"Neem 1 maal daags 1 capsule, tijdens of vlak na de maaltijd innemen. Tenzij anders wordt geadviseerd.","1) Ik ben erg blij met mijn aankoop van Vitakruid Vitamine B3 Niacinamide 500. Ik heb gemerkt dat sinds ik begon met het nemen van deze vitamine, mijn energieniveau is gestegen en ik voel me minder moe tijdens de dag. Bovendien heeft het geholpen bij de gezondheid van mijn huid en nagels. Ik zou dit product zeker aanbevelen aan anderen die op zoek zijn naar een natuurlijke manier om hun welzijn te verbeteren.

2) Als iemand die constant op zoek is naar supplementen om mijn algehele gezondheid te verbeteren, kan ik zeggen dat Vitakruid Vitamine B3 Niacinamide 500 zeker een must-have is. Het heeft geholpen bij het verbeteren van mijn spierherstel na het sporten en het heeft zelfs geholpen bij het verlichten van mijn migraine. Ik hou van het feit dat het allemaal natuurlijk is en zonder vervelende bijwerkingen. Als je op zoek bent naar een volledig natuurlijk supplement om je lichaam te optimaliseren, probeer dan zeker deze vitamine."
6,https://vitamines.com/vitamine-d3/vitals-vitamine-d3-3000ie-2/,Vitals Vitamine D3 3000IE Capsules,"In de orthomoleculaire wereld is het belang van hoge doseringen vitamine D al geruime tijd bekend. Langzamerhand weet een stortvloed aan ondubbelzinnige onderzoeksresultaten ook nationale en Europese overheidsinstellingen te overtuigen. Zowel de aanbevolen dagelijkse hoeveelheden als de maximaal toegestane doseringen blijven stijgen. Dit product bevat 75 mcg vitamine D3 (cholecalciferol), uitgedrukt in 3000 ie (internationale eenheden), gewonnen uit schapenwolvet. Deze extra hoge dosering is geschikt voor tijdelijk gebruik in de wintermaanden. Bovendien is deze dosering geschikt in situaties waarin er een verhoogde vitamine D-behoefte bestaat. Laat bij voorkeur de vitamine D-spiegel bepalen en doseer op geleide van de bloedwaarden. ",,,1 capsule per dag bij een (vetbevattende) maaltijd met water innemen. Houd u aan de aanbevolen dosering.,"Review 1:
De Vitals Vitamine D3 3000IE Capsules zijn een echte aanrader! Ik heb dit product gekocht omdat ik me in de wintermaanden vaak vermoeid en lusteloos voel en mijn arts adviseerde me om mijn vitamine D-spiegel te laten bepalen. Ik nam daarom de capsules gedurende een maand en ik heb echt verbetering gemerkt in mijn energieniveau en stemming. De capsules zijn gemakkelijk in te nemen en ik had geen last van bijwerkingen. Ik zal dit product zeker opnieuw kopen en het aanraden aan al mijn vrienden en familie.

Review 2:
Als fanatieke sporter heb ik vaak last van spierpijn en spierkrampen. Ik wil graag natuurlijke supplementen innemen om mijn gezondheid te ondersteunen en koos daarom voor de Vitals Vitamine D3 3000IE Capsules. De capsule heeft een hoge dosering vitamine D die goed is voor de spierfunctie en gezonde botten. Ik heb de capsules gedurende twee maanden dagelijks ingenomen en kan echt een verbetering in mijn spierherstel en gezondheid zien. Het product is gemakkelijk in te nemen en bevelen voor iedereen aan die zijn algehele gezondheid wil verbeteren."
7,https://vitamines.com/new-care-multi-kinderen/,New Care Multi kinderen,"Een kindermulti is geen verwennerij, maar levert een bijdrage aan de groei en ontwikkeling van kinderen. Daarom brengt New Care Multi kinderen niet in de vorm van een vrolijk figuurtje, maar zijn de vitaminen en mineralen verpakt in een ‘nuchtere’ kauwtablet. Bovendien is de smaakmaker in deze kindermulti de 100% natuurlijke en gezonde zoetstof stevia.","Natuurlijk gaat het bij een multivitamine voor kinderen niet alleen om vorm en smaak. Alles draait om de samenstelling, die goed moet zijn afgestemd op de lichamelijke en geestelijke behoefte van kinderen van 3 tot 12 jaar. New Care heeft daarmee met de ontwikkeling van Multi kinderen goed rekening gehouden. Zo is in de samenstelling rekening gehouden met de van nature aanwezige vitaminen en mineralen in de Nederlandse bodem en het Nederlandse voedings- en leefpatroon. Alles dat kinderen al uit hun voeding halen, hoeven ze natuurlijk niet extra in te nemen.","Deze ‘no-nonsense’ kauwtabletten bevatten natuurlijke vitamine E (d-alfa-tocopheryl), vitamine C in haar ontzuurde vorm, een breed B-complex en goed opneembare mineralen. De kauwtabletten hebben een sinaasappelsmaak en zijn vrij van aspartaam.",Gebruiksadvies,"Review 1:
Mijn kind is dol op deze New Care Multi kinderen tabletten! Als ouder vind ik het belangrijk om mijn kinderen de juiste voedingsstoffen te geven die ze nodig hebben om goed te groeien en te ontwikkelen. Deze kauwtabletten zijn ideaal omdat ze de vitaminen en mineralen bevatten die mijn kind nodig heeft in een makkelijke en smakelijke vorm. Het feit dat deze tabletten zijn gezoet met stevia maakt het nog beter omdat ik weet dat mijn kind geen ongezonde suikers binnenkrijgt. Ik ben erg blij met deze aankoop en zal het zeker aan andere ouders aanraden.

Review 2:
De New Care Multi kinderen tabletten zijn echt een geweldige aanvulling op het dieet van mijn kind. Ik ben zo blij dat ik deze tabletten heb gevonden omdat de samenstelling perfect is afgestemd op de behoeften van kinderen tussen 3 en 12 jaar oud. De kauwtabletten zijn zeer eenvoudig in te nemen en de smaak is ook nog eens lekker. Het is geweldig dat deze tabletten zijn gezoet met een 100% natuurlijke zoetstof, zodat ik erop kan vertrouwen dat mijn kind alleen maar goede dingen binnenkrijgt. Ik zou dit product zeker aanbevelen aan andere ouders die op zoek zijn naar een goede en gezonde multivitamine voor hun kinderen."
8,https://vitamines.com/vitamine-e/orthica-vitamine-e-400/,Orthica Vitamine E 400,"Zoek je een vitaminepreparaat met meer dan 200 i.e. vitamine E? Soms kan een supplement met vitamine E een welkome aanvulling zijn op een gezonde en gevarieerde voeding. Vitamine E is oplosbaar in vet. In je dagelijkse voeding vind je vitamine E in graanproducten als brood, maar ook in zonnebloemolie, dieethalvarine en –margarine en in groente, fruit, noten en zaden. Vitamine E-400 bevat 268 mg vitamine E per mini softgel.",,,"De aanbevolen dosering is 1 mini softgel per dag, tenzij anders wordt geadviseerd. Bij voorkeur innemen tijdens of na een maaltijd.","Review 1: 

Ik gebruik nu al een tijdje de Orthica Vitamine E 400 en ik ben er zeer tevreden over! Het is een onmisbare aanvulling op mijn dagelijkse voeding en ik merk echt een verschil in mijn gezondheid. Ik voel me fitter en energieker en mijn huid ziet er stralender uit. De mini softgels zijn makkelijk in te nemen en hebben geen nare nasmaak. Ik kan dit product zeker aanbevelen aan anderen die op zoek zijn naar een goede en betrouwbare bron van vitamine E!

Review 2: 

Als fervent sporter is het voor mij erg belangrijk om de nodige voedingsstoffen binnen te krijgen. De Orthica Vitamine E 400 is een product dat ik al geruime tijd gebruik om mijn gezondheid op peil te houden. Ik merk dat mijn herstel na het sporten veel sneller verloopt en dat ik minder last heb van spierpijn. Daarnaast heeft dit product ook een positief effect op mijn immuunsysteem, waardoor ik minder vatbaar ben voor ziektes. Al met al ben ik zeer tevreden over de Orthica Vitamine E 400 en zal ik het zeker blijven gebruiken!"
9,https://vitamines.com/multivitamine/orthica-multivitamine-max/,Orthica Multivitamine Max,"Veel sporten, zwaar lichamelijk werk doen of je met denkwerk geestelijk inspannen, zijn niet alleen voor jou een uitdaging, maar ook voor je lichaam. Door je regelmatig lichamelijk of geestelijk in te spannen, kun je een verhoogde behoefte hebben aan bepaalde voedingsstoffen. Dan kun je vast wel een steuntje als aanvulling op de voeding gebruiken als het gaat om het vrijmaken van energie of bij het behouden van sterke spieren. Multi Max is de hoogst gedoseerde Multi van Orthica, en door de uitgebalanceerde samenstelling geschikt voor sporters. Hoog gedoseerd en rijk aan actieve B-vitaminen en vitamine D.","Multi Max bevat een combinatie van nutriënten die de natuurlijke energie in het lichaam activeren, zoals ijzer, jodium, koper, mangaan en vitamine B-complex. Vitamine B3, B5, B12, B6, C en foliumzuur en ondersteunen bij geestelijke inspanning en vitamine B1, B3, B6 B12 en C helpen bij het vrijmaken van energie uit de voeding. Verder helpt zink bij de opbouw van lichaamseiwit, draagt vitamine B1 bij tot de normale werking van het hart en speelt vitamine D een rol bij het behouden van sterke spieren.",,"De aanbevolen dosering is 1 tablet per dag, tenzij anders wordt geadviseerd. Bij voorkeur innemen tijdens of na een maaltijd. De aanbevolen dagdosering niet overschrijden. Niet geschikt voor kinderen tot en met 17 jaar.","1. Als fanatieke sporter ben ik altijd op zoek naar supplementen die mijn prestaties kunnen verbeteren en mijn lichaam ondersteunen. Orthica Multivitamine Max heeft mij daarbij geholpen. De hoog gedoseerde multivitamine bevat een uitgebalanceerde samenstelling van voedingsstoffen die mijn energieniveau op peil houden en mijn spieren ondersteunen. Na enkele weken gebruik merk ik al een verschil in mijn prestaties en hersteltijd. Ik kan dit product zeker aanraden aan iedereen die regelmatig sport of zwaar lichamelijk werk doet.

2. Sinds ik Orthica Multivitamine Max gebruik, voel ik me fitter en energieker. De supplementen bevatten een rijke combinatie van vitamines en mineralen die bijdragen aan het vrijmaken van energie en het behouden van sterke spieren. Als drukke professional kan ik wel wat extra ondersteuning gebruiken om mijn geestelijke inspanning vol te houden. Dankzij de actieve B-vitaminen en vitamine D voel ik me scherper en beter in staat om mijn taken uit te voeren. Ik vind dit product een waardevolle aanvulling op mijn dagelijkse voeding en kan het iedereen aanbevelen."
